comparison,interpretation,keyword,period_a,period_b,count_a,count_b,log_odds_z_b_vs_a,direction,abs_log_odds_z,rank_abs_z
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,신고리,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,5836,521,-38.131557750347696,moon_pre_covid_2017_2019,38.131557750347696,97.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,접촉자,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,729,6371,38.01730662346475,moon_post_covid_2020_2022,38.01730662346475,98.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,항체,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,841,6608,37.95833585992106,moon_post_covid_2020_2022,37.95833585992106,99.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,옵티머스,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,34,4614,37.90809963729697,moon_post_covid_2020_2022,37.90809963729697,100.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,코로나,park_2013_2017,moon_post_covid_2020_2022,165,496066,433.8997531472642,moon_post_covid_2020_2022,433.8997531472642,1.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,확진자,park_2013_2017,moon_post_covid_2020_2022,1414,92926,183.77538027353484,moon_post_covid_2020_2022,183.77538027353484,2.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,방역,park_2013_2017,moon_post_covid_2020_2022,2962,82551,168.74830912302573,moon_post_covid_2020_2022,168.74830912302573,3.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,접종,park_2013_2017,moon_post_covid_2020_2022,1395,73964,163.18486905979148,moon_post_covid_2020_2022,163.18486905979148,4.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,플랫폼,park_2013_2017,moon_post_covid_2020_2022,8117,51557,113.75486411701867,moon_post_covid_2020_2022,113.75486411701867,5.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,디지털,park_2013_2017,moon_post_covid_2020_2022,14614,52947,97.68512552364268,moon_post_covid_2020_2022,97.68512552364268,6.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,뉴딜,park_2013_2017,moon_post_covid_2020_2022,661,20481,84.39637041615431,moon_post_covid_2020_2022,84.39637041615431,7.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,소상공인,park_2013_2017,moon_post_covid_2020_2022,3291,25152,82.31327146812974,moon_post_covid_2020_2022,82.31327146812974,8.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,주택,park_2013_2017,moon_post_covid_2020_2022,41550,79815,81.02835286461553,moon_post_covid_2020_2022,81.02835286461553,9.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,팬데믹,park_2013_2017,moon_post_covid_2020_2022,18,16078,77.75491194025031,moon_post_covid_2020_2022,77.75491194025031,10.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,연금,park_2013_2017,moon_post_covid_2020_2022,59651,17322,-73.72986040069324,park_2013_2017,73.72986040069324,11.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,감염병,park_2013_2017,moon_post_covid_2020_2022,3202,20582,72.03461035905524,moon_post_covid_2020_2022,72.03461035905524,12.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,종부세,park_2013_2017,moon_post_covid_2020_2022,436,13938,69.70613219632575,moon_post_covid_2020_2022,69.70613219632575,13.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,데이터,park_2013_2017,moon_post_covid_2020_2022,13873,34279,64.60277921982535,moon_post_covid_2020_2022,64.60277921982535,14.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,모빌리티,park_2013_2017,moon_post_covid_2020_2022,322,11004,62.09318468551331,moon_post_covid_2020_2022,62.09318468551331,15.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,텍스트는,park_2013_2017,moon_post_covid_2020_2022,9,10009,61.36296675334505,moon_post_covid_2020_2022,61.36296675334505,16.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,비대면,park_2013_2017,moon_post_covid_2020_2022,153,10067,60.450694801828604,moon_post_covid_2020_2022,60.450694801828604,17.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,공정,park_2013_2017,moon_post_covid_2020_2022,25970,47339,59.25976321718814,moon_post_covid_2020_2022,59.25976321718814,18.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,개혁,park_2013_2017,moon_post_covid_2020_2022,90234,41573,-58.88844373133724,park_2013_2017,58.88844373133724,19.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,재택근무,park_2013_2017,moon_post_covid_2020_2022,641,10410,57.960305790125,moon_post_covid_2020_2022,57.960305790125,20.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,수소,park_2013_2017,moon_post_covid_2020_2022,1509,11875,56.83615951815117,moon_post_covid_2020_2022,56.83615951815117,21.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,인공지능,park_2013_2017,moon_post_covid_2020_2022,7349,21438,56.269111100250036,moon_post_covid_2020_2022,56.269111100250036,22.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,재난지원금,park_2013_2017,moon_post_covid_2020_2022,45,8436,56.02386353978822,moon_post_covid_2020_2022,56.02386353978822,23.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,가상,park_2013_2017,moon_post_covid_2020_2022,3621,15330,55.62401153912205,moon_post_covid_2020_2022,55.62401153912205,24.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,공급망,park_2013_2017,moon_post_covid_2020_2022,327,8919,55.38007696643133,moon_post_covid_2020_2022,55.38007696643133,25.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,등교,park_2013_2017,moon_post_covid_2020_2022,1540,10937,53.55662083119153,moon_post_covid_2020_2022,53.55662083119153,26.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,자가격리,park_2013_2017,moon_post_covid_2020_2022,315,8234,53.10331309031303,moon_post_covid_2020_2022,53.10331309031303,27.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,화폐,park_2013_2017,moon_post_covid_2020_2022,3152,13594,52.70051403039462,moon_post_covid_2020_2022,52.70051403039462,28.0
cumulative_change,정부교체와 코로나 이후 변화가 누적된 총 변화,월성,park_2013_2017,moon_post_covid_2020_2022,2862,12964,52.273061888736926,moon_post_covid_2020_2022,52.273061888736926,29.0
