단어,log_odds_z,강화_정부
전파,19.39684287358593,문재인정부
굿즈,19.346974019984227,문재인정부
연합훈련,19.32906201731452,문재인정부
더불어민주당이,19.327811857953993,문재인정부
새로운보수당,19.300727471357373,문재인정부
민정,19.285387539187553,문재인정부
고령층,19.259874716477718,문재인정부
미나리,19.2577642980703,문재인정부
감소세,19.248289210496026,문재인정부
코드,19.23445158535226,문재인정부
상향,19.231207552906156,문재인정부
손영래,19.220470527911775,문재인정부
홍익표,19.20986024085515,문재인정부
인사,19.203218912511772,문재인정부
배민,19.191743295447225,문재인정부
윤여정,19.18367830286531,문재인정부
허은아,19.159081154471146,문재인정부
근무,19.15868192037093,문재인정부
협약,19.15624568903728,문재인정부
다중이용시설,19.140351042047083,문재인정부
유공자,19.11240139828681,문재인정부
스트리밍,19.093624460650332,문재인정부
요양병원,19.07516836884938,문재인정부
검체,19.052059255818623,문재인정부
우원식,19.031068104172938,문재인정부
강제징용,19.030391837722256,문재인정부
선제적,19.02932054116897,문재인정부
김경우,19.02818548651265,문재인정부
이정은,19.02786174780338,문재인정부
임은정,19.026397004952827,문재인정부
강효상,19.0252211758154,문재인정부
툰베리,19.012347881275364,문재인정부
게시판,19.011631675573398,문재인정부
매크로,19.01100671238894,문재인정부
이동통신,19.008186086996,문재인정부
역세권,19.004989910833327,문재인정부
렘데시비르,19.002659863707386,문재인정부
자율주행차,18.97548680951294,문재인정부
취재진,18.97518517572087,문재인정부
발사대,18.956454999068892,문재인정부
글중심,18.95414550460389,문재인정부
임차인,18.946163335141364,문재인정부
심의위,18.93161316496533,문재인정부
안태근,18.92983428907413,문재인정부
이상반응,18.928771900181683,문재인정부
나스닥,18.92591597108487,문재인정부
김부겸,18.91221430736387,문재인정부
청년,18.897374485352472,문재인정부
노딜,18.895763869417145,문재인정부
송병기,18.893685195431374,문재인정부
수급,18.890664605179897,문재인정부
고용,18.889573766773648,문재인정부
소부장,18.87626320179868,문재인정부
노트북,18.872724847598345,문재인정부
경증,18.870591486698164,문재인정부
일각,18.869456385150816,문재인정부
전일,18.868739951664608,문재인정부
만찬,18.868591533055195,문재인정부
셀트리온헬스케어,18.86635164788628,문재인정부
택시업계,18.858447295093015,문재인정부
이종훈,18.854377387185686,문재인정부
의약품,18.848976626642546,문재인정부
전원책,18.842138826433665,문재인정부
출금,18.8366117965245,문재인정부
재활용,18.834345147929614,문재인정부
